date,equity,peak,dd,year,month
2021-08-19,20000.0,20000.0,0.0,2021,2021-08
2021-08-20,20000.0,20000.0,0.0,2021,2021-08
2021-08-23,20000.0,20000.0,0.0,2021,2021-08
2021-08-24,20000.0,20000.0,0.0,2021,2021-08
2021-08-25,20000.0,20000.0,0.0,2021,2021-08
2021-08-26,20000.0,20000.0,0.0,2021,2021-08
2021-08-27,20000.0,20000.0,0.0,2021,2021-08
2021-08-30,20000.0,20000.0,0.0,2021,2021-08
2021-08-31,20000.0,20000.0,0.0,2021,2021-08
2021-09-01,20000.0,20000.0,0.0,2021,2021-09
2021-09-02,20000.0,20000.0,0.0,2021,2021-09
2021-09-03,20000.0,20000.0,0.0,2021,2021-09
2021-09-06,20000.0,20000.0,0.0,2021,2021-09
2021-09-07,20000.0,20000.0,0.0,2021,2021-09
2021-09-08,20000.0,20000.0,0.0,2021,2021-09
2021-09-09,20000.0,20000.0,0.0,2021,2021-09
2021-09-10,20000.0,20000.0,0.0,2021,2021-09
2021-09-13,20000.0,20000.0,0.0,2021,2021-09
2021-09-14,20000.0,20000.0,0.0,2021,2021-09
2021-09-15,20000.0,20000.0,0.0,2021,2021-09
2021-09-16,20000.0,20000.0,0.0,2021,2021-09
2021-09-17,20000.0,20000.0,0.0,2021,2021-09
2021-09-21,20000.0,20000.0,0.0,2021,2021-09
2021-09-22,20000.0,20000.0,0.0,2021,2021-09
2021-09-24,20000.0,20000.0,0.0,2021,2021-09
2021-09-27,20000.0,20000.0,0.0,2021,2021-09
2021-09-28,20000.0,20000.0,0.0,2021,2021-09
2021-09-29,20000.0,20000.0,0.0,2021,2021-09
2021-09-30,20000.0,20000.0,0.0,2021,2021-09
2021-10-01,20000.0,20000.0,0.0,2021,2021-10
2021-10-04,20000.0,20000.0,0.0,2021,2021-10
2021-10-05,20000.0,20000.0,0.0,2021,2021-10
2021-10-06,20000.0,20000.0,0.0,2021,2021-10
2021-10-07,20000.0,20000.0,0.0,2021,2021-10
2021-10-08,20000.0,20000.0,0.0,2021,2021-10
2021-10-11,20000.0,20000.0,0.0,2021,2021-10
2021-10-12,20000.0,20000.0,0.0,2021,2021-10
2021-10-13,20000.0,20000.0,0.0,2021,2021-10
2021-10-14,20000.0,20000.0,0.0,2021,2021-10
2021-10-15,20000.0,20000.0,0.0,2021,2021-10
2021-10-18,20000.0,20000.0,0.0,2021,2021-10
2021-10-19,20000.0,20000.0,0.0,2021,2021-10
2021-10-20,20000.0,20000.0,0.0,2021,2021-10
2021-10-21,20000.0,20000.0,0.0,2021,2021-10
2021-10-22,20000.0,20000.0,0.0,2021,2021-10
2021-10-25,20000.0,20000.0,0.0,2021,2021-10
2021-10-26,20000.0,20000.0,0.0,2021,2021-10
2021-10-27,20000.0,20000.0,0.0,2021,2021-10
2021-10-28,20000.0,20000.0,0.0,2021,2021-10
2021-10-29,20000.0,20000.0,0.0,2021,2021-10
2021-11-01,20000.0,20000.0,0.0,2021,2021-11
2021-11-02,20000.0,20000.0,0.0,2021,2021-11
2021-11-04,20000.0,20000.0,0.0,2021,2021-11
2021-11-05,20000.0,20000.0,0.0,2021,2021-11
2021-11-08,20000.0,20000.0,0.0,2021,2021-11
2021-11-09,20000.0,20000.0,0.0,2021,2021-11
