run_date,signal_date,cash,position_value,equity,position_count
2026-05-08,2026-05-08,20000.0,0.0,20000.0,0
2026-05-10,2026-05-08,20000.0,0.0,20000.0,0
2026-05-11,2026-05-11,20000.0,0.0,20000.0,0
2026-05-11,2026-05-11,20000.0,0.0,20000.0,0
2026-05-12,2026-05-12,20000.0,0.0,20000.0,0
2026-05-13,2026-05-13,20000.0,0.0,20000.0,0
2026-05-14,2026-05-14,20000.0,0.0,20000.0,0
2026-05-17,2026-05-15,20000.0,0.0,20000.0,0
2026-05-18,2026-05-18,20000.0,0.0,20000.0,0
2026-05-19,2026-05-19,20000.0,0.0,20000.0,0
2026-05-20,2026-05-20,20000.0,0.0,20000.0,0
2026-05-21,2026-05-21,20000.0,0.0,20000.0,0
2026-05-24,2026-05-22,20000.0,0.0,20000.0,0
2026-05-25,2026-05-25,20000.0,0.0,20000.0,0
2026-05-26,2026-05-26,20000.0,0.0,20000.0,0
2026-05-27,2026-05-27,8482.744250000002,11500.0,19982.744250000003,1
2026-05-28,2026-05-28,8482.744250000002,11500.0,19982.744250000003,1
2026-05-31,2026-05-29,8482.744250000002,11300.0,19782.744250000003,1
2026-06-01,2026-06-01,19632.1556005775,0.0,19632.1556005775,0
2026-06-03,2026-06-02,19632.1556005775,0.0,19632.1556005775,0
2026-06-04,2026-06-03,19632.1556005775,0.0,19632.1556005775,0
2026-06-04,2026-06-04,19632.1556005775,0.0,19632.1556005775,0
